username,name,location,company,total_contributions,latitude,longitude
StatsRhian,Rhian Davies,North Tyneside,@The-Strategy-Unit @r-lgbtq @nhs-r-community ,3,55.0297995,-1.508256
sjvrijn,Sander van Rijn,"Leiden, Netherlands",@NLeSC ,3,52.1594747,4.4908843
mloning,Markus Löning,Unknown,,3,,
gedankenstuecke,Bastian Greshake Tzovaras,Argentina,"ex-@alan-turing-institute, volunteer at @OpenHumans & @openSNP",3,-34.9964963,-64.9672817
bvreede,Barbara Vreede,"Utrecht, the Netherlands",,3,52.0907006,5.1215634
bcamino,Bruno Camino,London,,3,51.5074456,-0.1277653
Cedeli,Ced,Philippines,,3,12.7503486,122.7312101
agoose77,Angus Hollands,United Kingdom,2i2c,3,54.7023545,-3.2765753
choldgraf,Chris Holdgraf,California,@2i2c-org,3,36.7014631,-118.755997
danshearer,Dan Shearer,Unknown,,3,,
FrancesMadden,,Unknown,,3,,
JZhou-ScottLogic,,Unknown,,3,,
JadeHotchkiss,,Unknown,,3,,
Varachkina,,Unknown,,3,,
jamesmyatt,James Myatt,"Stevenage, UK",,3,51.9016663,-0.2027155
CapTen101,Tushar Rohilla,Unknown,IIT Roorkee | @salesforce,3,,
silvaromero,Romero Silva,"Recife, Pernambuco, Brazil",CIn-UFPE/Motorola,3,-8.0584933,-34.8848193
jatonline,James Thomas,"South West, UK",University of Bristol,3,51.5486542,-0.1808805
IIITM-Jay,Jay Dev Jha,"Surat, Gujarat, INDIA",,3,21.2094892,72.8317058
crayfish66,,Unknown,,2,,
blee1710,Brandon Lee,Unknown,,2,,
betatim,Tim Head,"Zurich, Switzerland",Nvidia ,2,47.3744489,8.5410422
Sylfrena,Sumera ,Unknown,,2,,
stweil,Stefan Weil,"Mannheim, Germany",@UB-Mannheim,2,49.4892913,8.4673098
srtee,Shern Tee,"Brisbane, Australia",Griffith University (Nathan Campus),2,-27.4689623,153.0235009
sarasrking,Sara King,Adelaide,,2,-34.9281805,138.5999312
rowanc1,Rowan Cockett,The Future,@curvenote,2,40.7439285,-73.9790227
ots22,,Unknown,,2,,
josephmje,Michael Joseph,Vector Institute,@VectorInstitute,2,18.0167484,-76.798421
hlnicholls,Hannah,Unknown,Queen Mary University of London,2,,
complexbrains,Isil Bilgin,Mittle Orf,,2,,
lottietownson01,,Unknown,,2,,
merlijn-de-smit,,Unknown,,2,,
mishkanemes,mishkanemes,London,@alan-turing-institute ,2,51.5074456,-0.1277653
nikitoshina,,Unknown,,2,,
pre-commit-ci[bot],,Unknown,,2,,
raptorchief,,Unknown,,2,,
glumand,Mio Heinrich,"Freiburg, Germany",,2,47.9960901,7.8494005
afzal442,Afzal Ansari,India,@akuity,2,22.3511148,78.6677428
Lextuga007,Zoë Turner,"East Riding of Yorkshire, England",,2,53.8735965,-0.5347788
Vamsiindugu,Vamsi Indugu,Visakhapatnam,,2,17.6935526,83.2921297
AaliyaK1391,,Unknown,,2,,
alee,Allen Lee,Arizona,,2,34.395342,-111.763275
andriannobella,Andrian Nobella,"Yogyakarta, Indonesia",,2,-7.7953473,110.3672845
AngelikaKerlin,Angelika Kerlin,Unknown,,2,,
arfon,Arfon Smith,Edinburgh,,2,55.9533456,-3.1883749
Avaga123,,Unknown,,2,,
BuildingTech24,,Unknown,,2,,
ClaudiaCAU,,Unknown,,2,,
nuest,Daniel Nüst,Germany,TU Dresden,2,51.1638175,10.4478313
dpdong19,Danping,Unknown,,2,,
emmac123,Emma Chapman,"Auckland, NZ",Auckland University of Technology Library,2,-36.852095,174.7631803
FreekPols,Freek Pols,Unknown,,2,,
mosoriob,Maximiliano Osorio,Chile,AndesPath,2,-31.7613365,-71.3187697
libertyh,Liberty Hamilton,"Berkeley, CA",UC Berkeley,2,37.8708393,-122.272863
mugeha-laura,Laura Mugeha,Earth,,2,34.2331373,-102.4107493
kcheng0222,Kyle Cheng,SF Bay Area,UC Berkeley,2,37.7884969,-122.3558473
KRHero03,Krunal Rank,Unknown,,2,,
juliancervos,Julian Lopez Gordillo,"Leiden, Netherlands",Naturalis Biodiversity Center,2,52.1594747,4.4908843
giannidsp,Gianni Scolaro,"Cincinnati, OH",,2,39.1012809,-84.5127405
gllmflndn,Guillaume Flandin,Unknown,,2,,
ianhinder,Ian Hinder,United Kingdom,University of Manchester,2,54.7023545,-3.2765753
eltociear,Ikko Eltociear Ashimine,"Tokyo, Japan",,2,35.6768601,139.7638947
iiitmjay,,Unknown,,2,,
Zenigata,Johan Bonneau,Unknown,zenika,2,,
ubikcan,Jeremy Crampton,"Washington, DC",U.S. Dept. of Energy,2,38.8950982,-77.0363849
NoorhanAbbas,,Unknown,,1,,
loleg,Oleg Lavrovsky,Switzerland,EPFL - SNAI,1,46.7985624,8.2319736
OriolAbril,Oriol Abril-Pla,Barcelona,,1,41.3825802,2.177073
patrickmineault,Patrick Mineault,"Montreal, Canada",,1,45.5031824,-73.5698065
pc494,Phillip,Unknown,,1,,
pgrimaud,Pierre Grimaud,"Paris, France",@sezane,1,48.8588897,2.320041
Deadheaven,Prajwal Rawoorkar,Unknown,,1,,
priya-gitTest,Priyanka O,Netherlands,,1,52.2434979,5.6343227
RabeaMue,Rabea Müller,Cologne,ZB MED - Informationcentre for Life Science,1,50.938361,6.959974
RachKes,,Unknown,,1,,
bast,Radovan Bast,"Tromsø, Norway",@coderefinery,1,69.6516345,18.9558585
bakhshir,Rena Bakhshi,"Amsterdam, The Netherlands",Netherlands eScience Center,1,52.3730796,4.8924534
rgaiacs,Raniere Silva,"Cologne, Germany (aka Köln)",,1,,
radersma,Reinder Radersma,Unknown,,1,,
nickyjgarland,Nicky Garland,Newcastle,"ADS, University of York",1,54.9738474,-1.6131572
m-rivera,Miguel Rivera,Unknown,,1,,
melibleq,Melissa Black,Unknown,,1,,
Megmugure,Margaret Wanjiku,"San Diego, CA.",,1,32.7174202,-117.162772
mbjoseph,Max Joseph,"Denver, CO",@planetlabs,1,39.7392364,-104.984862
H-Mateus,Mateus Harrington,Unknown,Cardiff Universty,1,,
mwoodbri,Mark Woodbridge,Unknown,,1,,
Mariamhaji,MariamH,Nairobi,,1,-1.2890006,36.8172812
M-Jane-Bunting,,Unknown,,1,,
krystofkomanec,Kryštof Komanec,Unknown,,1,,
KimDeRuyck,Kim De Ruyck,Unknown,VIB / ELIXIR Belgium,1,,
kafitzgerald,Katelyn FitzGerald,"Boulder, CO",@NCAR ,1,40.0149856,-105.270545
jspaaks,Jurriaan H. Spaaks,"West Virginia, USA",#OpenToWork,1,38.4758406,-80.8408415
JunXie07,,Unknown,,1,,
irenekp,irene,"Atlanta, GA",Georgia Tech,1,33.7544657,-84.3898151
oxpeter,oxpeter,Sydney,,1,-33.8698439,151.2082848
griff-rees,,Unknown,,1,,
gandrewgabriel,George Gabriel,Unknown,,1,,
evelinag,Evelina Gabasova,"Prague, Czechia",,1,50.0874654,14.4212535
edskev,,Unknown,,1,,
camirincon,,Unknown,,1,,
ashinonyx,,Unknown,,1,,
mitre88,Dr Alex Mitre,Xalapa,SEV (Secretaría de Educación de Veracruz),1,19.5408338,-96.9146374
Yash-Varshney,Yash Varshney,Mandi,"Indian Institute of Technology, Mandi",1,31.6516617,77.0092542
v-smith,Vicky Smith,London,UCL,1,51.5074456,-0.1277653
VatsalNagelia,,Unknown,,1,,
TueloNtlotlang,,"Botswana, Africa",Botswana International University of Science and Technology (BIUST),1,-24.6723142,25.8935104
TiernanOSullivan,Tiernan O'Sullivan,Unknown,Tilburg University,1,,
ThyavdBerg,Thya van den Berg,Hull,University of Hull,1,53.7623863,-0.3301214
tomsing1,Thomas Sandmann,United States,Denali Therapeutics,1,39.7837304,-100.445882
gitter-badger,The Gitter Badger,Safe in the Gitter den,Gitter,1,,
sradicwebster,Stefan Radic Webster,Cardiff,University of Bristol,1,51.4816546,-3.1791934
duerrsimon,Simon Duerr,Lausanne,,1,46.5218269,6.6327025
SianC,,Unknown,,1,,
shashank-k-y,Shashank,"Bengaluru, Karnataka",@CreditSaisonIndia,1,12.9767936,77.590082
perashanid,Shanid Sajjatuz Islam,"Dhaka,Banglasesh",Brac University,1,,
scotthosking,Scott Hosking,"Cambridge/London, UK",@alan-turing-institute,1,51.5136329,-0.1265296
snastase,Sam Nastase,"Los Angeles, CA",University of Southern California,1,34.0536909,-118.242766
rpep,Dr Ryan Pepper,United Kingdom,,1,54.7023545,-3.2765753
campioru,Ruaidhrí Campion,"Dublin, Ireland",Trinity College Dublin,1,53.3493795,-6.2605593
rgbayrak,Roza Gunes Bayrak,"Nashville, TN",Vanderbilt University,1,36.1622767,-86.7742984
RohitMidha23,,Unknown,,1,,
rsn9454,Rohan Nair,India,,1,22.3511148,78.6677428
chrisdburr,Christopher Burr,London,@alan-turing-institute,1,51.5074456,-0.1277653
tomlincr,Chris Tomlinson,"Guildford, Surrey, UK",@ucl-ihi,1,51.2356068,-0.5732063
chrisdotcollins,Chris Collins,Unknown,,1,,
chirag1701,Chirag Sindhwani,Unknown,,1,,
ccoulombe,Charles Coulombe,Québec,Calcul Québec - DRAC - UseGalaxy.ca,1,52.4760892,-71.8258668
illushka,Chanuki Illushka Seresinhe,Unknown,,1,,
chandlerklein,Chandler Klein,Chicago,,1,41.8755616,-87.6244212
chadsgilbert,Chad Gilbert,"Halifax, Nova Scotia",,1,44.648618,-63.5859487
CariHV,Cari Hyde-Vaamonde,London,King's College London,1,51.5074456,-0.1277653
